EnName
Unused
Velvet Key
Persimmon Leaf
Red Fountain Pen
Platinum Bookmark
Online Game
Reinstatement Form
Extension Form
Gym Key
Blue Envelope
Folded Paper
Handmade Choker
Fuuka's Headphones
Motorcycle Key
Cheap Lighter
Persimmon Fruit
Yukari's Strap
Sports Tape
Shojo Manga
Screenshot Data
Award Letter
Kids' Letter
Bead Ring
Money Pouch
Thank-You Letter
Reserve Tag
Car Key
Gourmet License
Worn Notebook
Charred Screw
未使用
未使用
未使用
Vibrant Feather
Sugar Key
Pentagram Stone
Marionette
Lily Petal
Masakados
Small Cheongsam
Book of the Ancients
Tyrant's Horn
Phoenix Tail
未使用
Colorless Mask
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Old Document 01
Old Document 02
Old Document 03
Old Document 04
Old Document 05
Old Document 06
Old Document 07
Old Document 08
Progress Report
Memoir 01
Memoir 02
Memoir 03
Memoir 04
Memoir 05
Memoir 06
Pine Resin
Fencing Épée
Glasses Wipe
Poinsettia
Handheld Console
Fruit Knife
Featherman R Figure
Amateur Protein
Gourmet Dog Food
Machine Oil
Oden Juice
Anatomical Model
Queen Elizabeth
Mahjong Tile
Inari Sushi
Kanetsugu's Helm
Gekkoukan Boogie
Tanaka's Signature
500-Yen Bill
Pretty Seashell
Strange Seaweed
Yakushima Wood
Small Crab
Bandage Wrap
Student Handbook
Irresistible Catnip
Letter of Thanks
Christmas Present
True Aohige Aojiru
未使用
Baseball Glove
Hand Wraps
Koromaru's Collar
Silver Key
Incomplete Form
Music Box
未使用
未使用
未使用
未使用
未使用
未使用
Fool Tarot
Magician Tarot
High Priestess Tarot
Empress Tarot
Emperor Tarot
Hierophant Tarot
Lovers Tarot
Chariot Tarot
Justice Tarot
Hermit Tarot
Fortune Tarot
Strength Tarot
Hanged Man Tarot
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Temperance Tarot
Devil Tarot
Tower Tarot
Star Tarot
Moon Tarot
Sun Tarot
Judgement Tarot
未使用
未使用
未使用
Book of Samech
Book of Ayin
Book of Pe
Book of Tsadi
Book of Qof
Book of Resh
Book of Shin
Book of Tav
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Designer Glasses
Cat Ear Headband
Gag Glasses
Santa Hat
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
