EnName	Included
未使用	0
Io	0
Isis	0
Hermes	0
Trismegistus	0
Polydeuces	0
Caesar	0
Penthesilea	0
Artemisia	0
Lucia	0
Juno	0
Palladion	0
Athena	0
Nemesis	0
Kala-Nemi	0
Castor	0
Cerberus	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Archangel	1
Asura	1
Atavaka	1
Attis	1
Atropos	1
Ananta	1
Anubis	1
Abaddon	1
Apsaras	1
Arahabaki	1
Ara Mitama	1
Alice	1
Alilat	1
Inugami	1
Incubus	1
Virtue	1
Vasuki	1
Valkyrie	1
Vishnu	1
Uriel	1
Eligor	1
Angel	1
Okuninushi	1
Odin	1
Ose	1
Oni	1
Oberon	1
Omoikane	1
Orthrus	1
Orpheus	1
Orpheus Telos	1
Orobas	1
Onmoraki	1
Kali	1
Ganesha	1
Hua Po	1
Gabriel	1
Garuda	1
Ganga	1
Kaiwan	1
Kikuri-Hime	1
Chimera	1
Cybele	1
Girimekhala	1
King Frost	1
Queen Medb	1
Cu Chulainn	1
Kumbhanda	1
Kushi Mitama	1
Kurama Tengu	1
Gurulu	1
Clotho	1
Quetzalcoatl	1
Genbu	1
Koumokuten	1
Kohryu	1
Saki Mitama	1
Succubus	1
Satan	1
Sati	1
Saturnus	1
Samael	1
Sarasvati	1
Thunderbird	1
Sandalphon	1
Sandman	1
Siegfried	1
Shiisaa	1
Shiva	1
Shiki-Ouji	1
Jikokuten	1
Black Frost	1
Jatayu	1
Jack Frost	1
Jack-o'-Lantern	1
Chi You	1
Silky	1
Scathach	1
Skadi	1
Suzaku	1
Susano-o	1
Slime	1
Surt	1
Qitian Dasheng	1
Seiryu	1
Setanta	1
Seth	1
Zouchouten	1
Throne	1
Dakini	1
Daisoujou	1
Take-Mikazuchi	1
Take-Minakata	1
Thanatos	1
Tam Lin	1
Chernobog	1
Dionysus	1
Titania	1
Decarabia	1
Thoth	1
Thor	1
Dominion	1
Trumpeter	1
Naga	1
Naga Raja	1
Narcissus	1
Nidhoggr	1
Nigi Mitama	1
Neko Shogun	1
Nekomata	1
Nebiros	1
Norn	1
Baal Zebul	1
Parvati	1
High Pixie	1
Pazuzu	1
Hanuman	1
Baphomet	1
Hariti	1
Barong	1
Power	1
Pixie	1
Pisaca	1
Bishamonten	1
Byakko	1
Fortuna	1
Forneus	1
Futsunushi	1
Flauros	1
Principality	1
Pale Rider	1
Hecatoncheires	1
Berith	1
Hell Biker	1
Beelzebub	1
Belphegor	1
Houou	1
Horus	1
White Rider	1
Mara	1
Mother Harlot	1
Masakado	1
Mada	1
Matador	1
Michael	1
Mishaguji	1
Mitra	1
Mithras	1
Messiah	1
Metatron	1
Melchizedek	1
Mokoi	1
Mothman	1
Mot	1
Yakshini	1
Yatagarasu	1
Yamata-no-Orochi	1
Unicorn	1
Universe	0
Yurlungur	1
Rakshasa	1
Lakshmi	1
Lachesis	1
Raphael	1
Lamia	1
Rangda	1
Leanan Sidhe	1
Lilith	1
Lilim	1
Lucifer	1
Helel	1
Legion	1
Loa	1
Loki	1
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Moros	0
Medea	0
Hypnos	0
未使用	0
未使用	0
未使用	0
