en	1
Raidou	0
Pyro Jack	1
Oshichi	1
Gdon	1
Muspell	1
Sati	1
Throne	1
Hitokotonusi	1
Belial	1
Jubokko	1
Azumi	1
Jack Frost	1
Tarrasque	1
Ukobach	1
Arahabaki	1
Raja Naga	1
Ouyamatsumi	1
Oukuninushi	1
Orochi	1
Raiju	1
Oboroguruma	1
Nue	1
Tsuchigumo	1
Oumitsunu	1
Parvati	1
Mishaguji	1
Thor	1
Agathion	1
Moh Shuvuu	1
Poltergeist	1
Feng Huang	1
Kurama	1
Power	1
Legion	1
Ichimokuren	1
Anzu	1
Sandalphon	1
Obariyon	1
Oni	1
Turdak	1
Lamia	1
Ikusa	1
Rakshasa	1
Triglav	1
Chernobog	1
Cerberus	1
Shouten	1
Siegfried	1
Susano-o	1
Gashadokuro	1
Ghoul	1
Utai-gaikotsu	1
Alp	1
Mokoi	1
Okiku-mushi	1
Incubus	1
Lilith	1
Nebiros	1
Beelzebub	1
Leanan Sidhe	1
Ippon-datara	1
Thoth	1
Futsunushi	1
Nagasunehiko	1
Scathach	1
Kudan	1
Raiho	1
Nekomata	1
Abihiko	1
Alice	1
Yoshitsune	1
Orthrus	1
Legion	1
Legion	1
Legion	1
Legion	1
0x04C	0
0x04D	0
0x04E	0
0x04F	0
0x050	0
Pyro Jack	1
Oshichi	1
Gdon	1
Muspell	1
Sati	1
Throne	1
Hitokotonusi	1
Belial	1
Jubokko	1
Azumi	1
Jack Frost	1
Tarrasque	1
Ukobach	1
Arahabaki	1
Raja Naga	1
Ouyamatsumi	1
Oukuninushi	1
Orochi	1
Raiju	1
Oboroguruma	1
Nue	1
Tsuchigumo	1
Oumitsunu	1
Parvati	1
Mishaguji	1
Thor	1
Agathion	1
Moh Shuvuu	1
Poltergeist	1
Feng Huang	1
Kurama	1
Power	1
Legion	1
Ichimokuren	1
Anzu	1
Sandalphon	1
Obariyon	1
Oni	1
Turdak	1
Lamia	1
Ikusa	1
Rakshasa	1
Triglav	1
Chernobog	1
Cerberus	1
Shouten	1
