PackID	Rank	Skill	Weight
1	0	0	0
1	1	10	10
1	1	20	10
1	1	133	10
1	1	110	10
1	1	180	10
1	1	181	10
1	1	182	10
1	1	210	10
1	1	85	10
1	1	87	10
1	1	89	10
1	1	40	10
1	1	30	10
1	1	110	10
1	1	140	10
1	1	190	10
1	1	191	10
1	1	192	10
1	1	91	10
1	1	93	10
1	1	95	10
1	1	0	0
1	2	10	10
1	2	20	10
1	2	143	10
1	2	126	10
1	2	765	5
1	2	767	5
1	2	752	5
1	2	754	5
1	2	738	5
1	2	740	5
1	2	40	10
1	2	30	10
1	2	126	10
1	2	113	10
1	2	771	5
1	2	769	5
1	2	742	5
1	2	750	5
1	2	746	5
1	2	748	5
1	2	744	5
1	2	0	0
1	3	13	10
1	3	23	10
1	3	128	10
1	3	111	10
1	3	798	10
1	3	800	10
1	3	86	10
1	3	88	10
1	3	90	10
1	3	785	10
1	3	788	10
1	3	43	10
1	3	33	10
1	3	111	10
1	3	120	10
1	3	804	10
1	3	802	10
1	3	92	10
1	3	94	10
1	3	96	10
1	3	200	10
1	3	201	10
1	4	11	10
1	4	21	10
1	4	753	5
1	4	755	5
1	4	739	5
1	4	741	5
1	4	141	10
1	4	145	10
1	4	785	10
1	4	789	10
1	4	41	10
1	4	31	10
1	4	743	5
1	4	751	5
1	4	747	5
1	4	749	5
1	4	745	5
1	4	145	10
1	4	119	10
1	4	846	10
1	4	780	10
1	4	0	0
1	5	14	10
1	5	24	10
1	5	712	5
1	5	716	5
1	5	766	5
1	5	768	5
1	5	129	10
1	5	121	10
1	5	114	10
1	5	185	10
1	5	186	10
1	5	187	10
1	5	891	10
1	5	890	10
1	5	841	10
1	5	44	10
1	5	34	10
1	5	724	5
1	5	720	5
1	5	772	5
1	5	770	5
1	5	148	10
1	5	114	10
1	5	121	10
1	5	195	10
1	5	196	10
1	5	197	10
1	5	781	10
1	5	847	10
1	6	12	10
1	6	22	10
1	6	799	5
1	6	801	5
1	6	786	10
1	6	790	10
1	6	844	5
1	6	842	5
1	6	215	10
1	6	216	10
1	6	127	10
1	6	130	10
1	6	42	10
1	6	32	10
1	6	805	5
1	6	803	5
1	6	838	10
1	6	847	10
1	6	757	10
1	6	205	10
1	6	206	10
1	6	112	10
1	6	144	10
1	6	885	10
1	7	15	10
1	7	25	10
1	7	713	5
1	7	717	5
1	7	115	10
1	7	142	10
1	7	844	10
1	7	842	10
1	7	892	10
1	7	45	10
1	7	35	10
1	7	725	5
1	7	721	5
1	7	115	10
1	7	146	10
1	7	838	10
1	7	757	5
1	7	894	10
1	8	16	10
1	8	26	10
1	8	146	10
1	8	117	10
1	8	714	5
1	8	718	5
1	8	188	10
1	8	892	10
1	8	857	10
1	8	848	10
1	8	46	10
1	8	36	10
1	8	116	10
1	8	132	10
1	8	726	5
1	8	722	5
1	8	198	10
1	8	871	5
1	8	856	10
1	8	849	10
1	9	16	10
1	9	26	10
1	9	117	10
1	9	132	10
1	9	188	10
1	9	715	10
1	9	719	10
1	9	857	10
1	9	848	10
1	9	839	10
1	9	46	10
1	9	36	10
1	9	132	10
1	9	131	10
1	9	198	10
1	9	727	10
1	9	723	10
1	9	856	10
1	9	849	10
1	9	872	10
2	0	0	0
2	1	10	10
2	1	20	10
2	1	133	10
2	1	110	10
2	1	180	10
2	1	181	10
2	1	182	10
2	1	210	10
2	1	85	10
2	1	87	10
2	1	89	10
2	1	70	10
2	1	56	10
2	1	140	10
2	1	133	10
2	1	155	10
2	1	170	10
2	1	172	10
2	1	825	10
2	1	826	10
2	1	827	10
2	1	831	10
2	2	10	10
2	2	20	10
2	2	143	10
2	2	126	10
2	2	765	5
2	2	767	5
2	2	752	5
2	2	754	5
2	2	738	5
2	2	740	5
2	2	70	10
2	2	56	10
2	2	113	10
2	2	143	10
2	2	773	5
2	2	775	5
2	2	155	10
2	2	170	10
2	2	172	10
2	2	104	10
2	2	0	0
2	2	0	0
2	3	13	10
2	3	23	10
2	3	128	10
2	3	111	10
2	3	798	10
2	3	800	10
2	3	86	10
2	3	88	10
2	3	90	10
2	3	785	10
2	3	788	10
2	3	73	10
2	3	59	10
2	3	120	10
2	3	128	10
2	3	806	10
2	3	808	10
2	3	160	10
2	3	846	10
2	3	884	10
2	3	104	10
2	3	165	10
2	4	11	10
2	4	21	10
2	4	753	5
2	4	755	5
2	4	739	5
2	4	741	5
2	4	141	10
2	4	145	10
2	4	785	10
2	4	789	10
2	4	57	10
2	4	71	10
2	4	156	10
2	4	171	5
2	4	173	5
2	4	167	5
2	4	211	5
2	4	119	10
2	4	141	10
2	4	834	10
2	4	893	10
2	4	0	0
2	5	14	10
2	5	24	10
2	5	712	5
2	5	716	5
2	5	766	5
2	5	768	5
2	5	129	10
2	5	121	10
2	5	114	10
2	5	185	10
2	5	186	10
2	5	187	10
2	5	891	10
2	5	890	10
2	5	841	10
2	5	60	10
2	5	74	10
2	5	728	5
2	5	732	5
2	5	774	5
2	5	776	5
2	5	129	10
2	5	114	10
2	5	148	10
2	5	161	10
2	5	177	10
2	5	167	5
2	5	834	10
2	5	869	10
2	6	12	10
2	6	22	10
2	6	799	5
2	6	801	5
2	6	786	10
2	6	790	10
2	6	844	5
2	6	842	5
2	6	215	10
2	6	216	10
2	6	127	10
2	6	130	10
2	6	58	10
2	6	72	10
2	6	807	5
2	6	809	5
2	6	828	5
2	6	829	5
2	6	830	5
2	6	157	10
2	6	166	10
2	6	100	5
2	6	112	10
2	6	130	10
2	7	15	10
2	7	25	10
2	7	713	5
2	7	717	5
2	7	115	10
2	7	142	10
2	7	844	10
2	7	842	10
2	7	892	10
2	7	61	10
2	7	75	10
2	7	729	5
2	7	733	5
2	7	142	10
2	7	116	10
2	7	162	10
2	7	176	10
2	7	870	5
2	8	16	10
2	8	26	10
2	8	146	10
2	8	117	10
2	8	714	5
2	8	718	5
2	8	188	10
2	8	892	10
2	8	857	10
2	8	848	10
2	8	62	10
2	8	76	10
2	8	146	10
2	8	116	10
2	8	730	5
2	8	734	5
2	8	162	10
2	8	870	10
2	8	864	10
2	8	756	10
2	9	16	10
2	9	26	10
2	9	117	10
2	9	132	10
2	9	188	10
2	9	715	10
2	9	719	10
2	9	857	10
2	9	848	10
2	9	839	10
2	9	62	10
2	9	76	10
2	9	131	10
2	9	117	10
2	9	118	10
2	9	731	10
2	9	735	10
2	9	836	10
2	9	756	10
2	9	864	10
3	0	0	0
3	1	10	10
3	1	20	10
3	1	133	10
3	1	110	10
3	1	180	10
3	1	181	10
3	1	182	10
3	1	210	10
3	1	85	10
3	1	87	10
3	1	89	10
3	1	133	10
3	1	110	10
3	1	140	10
3	1	104	10
3	1	788	10
3	1	784	10
3	1	884	10
3	1	833	10
3	1	845	10
3	1	779	10
3	1	0	0
3	2	10	10
3	2	20	10
3	2	143	10
3	2	126	10
3	2	765	5
3	2	767	5
3	2	752	5
3	2	754	5
3	2	738	5
3	2	740	5
3	2	143	10
3	2	126	10
3	2	113	10
3	2	759	5
3	2	763	5
3	2	761	5
3	2	845	10
3	2	884	10
3	2	788	10
3	2	784	10
3	2	779	10
