en	desc
0x000	RESERVE SKILL
Agi	Light damage\tFire\t1 enemy
Agilao	Moderate damage\tFire\t1 enemy
Agidyne	Heavy damage\tFire\t1 enemy
Maragi	Light damage\tFire\tAll
Maragion	Moderate damage\tFire\tAll
Maragidyne	Heavy damage\tFire\tAll
Flame Breath	Moderate damage\tFire\tRandom
0x008	Heavy damage\tFire\tRandom
0x009	Mega damage\tFire\tAll
Bufu	Light damage\tIce\t1 enemy
Bufula	Moderate damage\tIce\t1 enemy
Bufudyne	Heavy damage\tIce\t1 enemy
Mabufu	Light damage\tIce\tAll
Mabufula	Moderate damage\tIce\tAll
Mabufudyne	Heavy damage\tIce\tAll
Frost Breath	Moderate damage\tIce\tRandom
0x011	Heavy damage\tIce\tRandom
0x012	Mega damage\tIce\tAll
Zio	Light damage\tElec\t1 enemy
Zionga	Moderate damage\tElec\t1 enemy
Ziodyne	Heavy damage\tElec\t1 enemy
Mazio	Light damage\tElec\tAll
Mazionga	Moderate damage\tElec\tAll
Maziodyne	Heavy damage\tElec\tAll
Bolt Flare	Moderate damage\tElec\tRandom
0x01A	Heavy damage\tElec\tRandom
0x01B	Mega damage\tElec\tAll
Zan	Light damage\tForce\t1 enemy
Zanma	Moderate damage\tForce\t1 enemy
Zandyne	Heavy damage\tForce\t1 enemy
Mazan	Light damage\tForce\tAll
Mazanma	Moderate damage\tForce\tAll
Mazandyne	Heavy damage\tForce\tAll
Shock Wave	Moderate damage\tForce\tRandom
0x023	Heavy damage\tForce\tRandom
0x024	Mega damage\tForce\tAll
Tera	Light damage\tEarth\t1 enemy
Terazi	Moderate damage\tEarth\t1 enemy
Teradyne	Heavy damage\tEarth\t1 enemy
Matera	Light damage\tEarth\tAll
Materazi	Moderate damage\tEarth\tAll
Materadyne	Heavy damage\tEarth\tAll
Avalanche	Moderate damage\tEarth\tRandom
0x02C	Heavy damage\tEarth\tRandom
0x02D	Mega damage\tEarth\tAll
Megido	Moderate damage\tAlmighty\tAll
Megidola	Heavy damage\tAlmighty\tAll
Megidolaon	Mega damage\tAlmighty\tAll
HP Thief	Drain HP\tAlmighty\t1 enemy
MP Thief	Drain MP\tMute\t1 enemy
0x033	Drain HP and MP\t1 enemy
Last Word	Mega damage\tAlmighty\t1 enemy
Death March	Heavy damage\tForfeit HP\tRandom
0x036	Heavy damage\tForfeit HP\t1 enemy
Rage	Add 2 blinking \tturn icons
Psycho Rage	Add 4 blinking \tturn icons
Vanity	Inflict ailments\tAlmighty\tAll
Revert	Chance of forcing\t1 enemy to\trevert to human
Marevert	Chance of forcing\tall enemies to\trevert to humans
Hama	Reduce HP by half\tExpel\t1 enemy
Hamaon	Reduce HP greatly\tExpel\t1 enemy
Mahama	Reduce HP by half\tExpel\tAll
Mahamaon	Reduce HP greatly\tExpel\tAll
Xanadu	Heavy damage\tExpel\tAll
Mudo	Death (low odds)\t1 enemy
Mudoon	Death (high odds)\t1 enemy
Mamudo	Death (low odds)\tAll
