AreaId	LowPersonaRankId	HightPersonaRankId	LowWandRankId	HightWandRankId	LowCoinRankId	HightCoinRankId	LowCupRankId	HightCupRankId	LowSwordRankId	HightSwordRankId	CardNumProb1	CardNumProb2	CardNumProb3	CardNumProb4	CardNumProb5
0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0
0	1	1	0	0	0	0	0	0	0	0	0	70	30	0	0
0	2	2	0	0	0	0	0	0	0	0	0	50	50	0	0
0	3	3	0	1	0	1	0	1	0	1	0	20	80	0	0
0	4	4	1	1	1	1	1	1	1	1	0	20	80	0	0
0	5	5	1	2	1	2	1	2	1	2	0	10	90	0	0
0	6	6	1	2	1	2	1	2	1	2	0	10	90	0	0
0	7	7	2	2	2	2	2	2	2	2	0	10	80	10	0
0	8	8	2	3	2	3	2	3	2	3	0	0	80	20	0
0	9	9	2	3	2	3	2	3	2	3	0	10	60	30	0
0	10	10	2	3	2	3	2	3	2	3	0	10	60	30	0
0	5	5	2	2	2	2	2	2	2	2	0	0	0	0	100
0	6	6	2	2	2	2	2	2	2	2	0	0	0	0	100
0	8	8	2	3	2	3	2	3	2	3	0	0	0	0	100
0	9	9	3	3	3	3	3	3	3	3	0	0	0	0	100
0	8	8	3	3	3	3	3	3	3	3	0	0	0	100	0
0	11	11	3	3	3	3	3	3	3	3	0	5	60	35	0
0	12	12	3	4	3	4	3	4	3	4	0	5	60	35	0
0	13	13	3	4	3	4	3	4	3	4	0	5	50	45	0
0	11	12	4	4	4	4	4	4	4	4	0	0	0	0	100
0	14	14	4	4	4	4	4	4	4	4	0	5	50	45	0
0	15	15	4	5	4	5	4	5	4	5	0	5	50	45	0
0	16	16	4	5	4	5	4	5	4	5	0	5	40	55	0
0	14	15	5	5	5	5	5	5	5	5	0	0	0	0	100
0	17	17	5	5	5	5	5	5	5	5	0	5	40	55	0
0	18	18	5	6	5	6	5	6	5	6	0	5	40	55	0
0	19	19	5	6	5	6	5	6	5	6	0	5	40	50	5
0	17	18	6	6	6	6	6	6	6	6	0	0	0	0	100
0	22	22	6	6	6	6	6	6	6	6	0	5	35	60	0
0	23	23	6	7	6	7	6	7	6	7	0	5	35	60	0
0	24	24	6	7	6	7	6	7	6	7	0	5	35	55	5
0	22	23	7	7	7	7	7	7	7	7	0	0	0	0	100
0	25	25	7	7	7	7	7	7	7	7	0	0	35	55	10
0	26	26	7	8	7	8	7	8	7	8	0	0	35	55	10
0	27	27	7	8	7	8	7	8	7	8	0	0	30	55	15
0	25	26	8	8	8	8	8	8	8	8	0	0	0	0	100
0	20	20	2	3	2	3	-1	-1	-1	-1	0	0	100	0	0
0	21	21	2	3	2	3	-1	-1	-1	-1	0	0	100	0	0
0	28	28	8	8	8	8	8	8	8	8	0	0	25	65	10
0	29	29	8	9	8	9	8	9	8	9	0	0	25	65	10
0	30	30	8	9	8	9	8	9	8	9	0	0	20	65	15
0	28	29	9	9	9	9	9	9	9	9	0	0	0	0	100
0	31	31	9	9	9	9	9	9	9	9	0	0	15	70	15
0	32	32	9	10	9	10	9	10	9	10	0	0	15	70	15
0	33	33	10	10	10	10	10	10	10	10	0	0	15	65	20
0	34	34	11	11	11	11	11	11	11	11	0	0	10	60	30
0	31	32	10	10	10	10	10	10	10	10	0	0	0	0	100
0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	100	0
