RankID	Num	Prob	ItemtID
0	1	20	28761
0	1	20	28741
0	1	20	28768
0	1	20	28766
0	1	10	28778
0	1	10	28789
1	1	16	28673
1	1	16	28686
1	1	16	28692
1	1	16	28680
1	1	8	28701
1	1	8	28712
1	1	20	28778
2	1	6	28734
2	1	6	28723
2	1	6	28725
2	1	6	28727
2	1	6	28729
2	1	6	28732
2	1	5	28739
2	1	3	28740
2	1	3	28708
2	1	3	28719
2	1	5	28803
2	1	5	28807
2	1	5	28805
2	1	5	28796
2	1	5	28800
2	1	5	28798
2	1	5	28816
2	1	3	28982
2	1	3	28737
2	1	3	28738
2	1	3	28915
2	1	3	28924
3	1	5	28762
3	1	5	28744
3	1	5	28770
3	1	8	28781
3	1	7	28785
3	1	4	28789
3	1	8	28818
3	1	8	28819
3	1	8	28821
3	1	8	28820
3	1	2	28883
3	1	2	28885
3	1	2	28889
3	1	2	28887
3	1	3	28985
3	1	3	28987
3	1	2	28877
3	1	2	28879
3	1	2	28881
3	1	4	28918
3	1	4	28921
3	1	3	28954
3	1	3	28955
4	1	6	28676
4	1	6	28689
4	1	6	28695
4	1	6	28683
4	1	6	28704
4	1	6	28715
4	1	5	28709
4	1	5	28720
4	1	2	28698
4	1	6	28893
4	1	6	28895
4	1	6	28897
4	1	5	28899
4	1	5	28901
4	1	5	28903
4	1	5	28905
4	1	5	28907
4	1	5	28909
4	1	4	28953
5	1	5	28751
5	1	5	28742
5	1	5	28769
5	1	4	28752
5	1	4	28753
5	1	6	28674
5	1	6	28687
5	1	6	28693
5	1	6	28681
5	1	6	28702
5	1	6	28713
5	1	3	28710
5	1	3	28721
5	1	5	28779
5	1	2	28794
5	1	2	28792
5	1	4	28973
5	1	4	28974
5	1	4	28975
5	1	4	28976
5	1	2	28965
5	1	2	28916
5	1	2	28932
5	1	2	28931
5	1	2	28925
6	1	5	28878
6	1	5	28880
6	1	5	28882
6	1	2	28884
6	1	2	28886
6	1	2	28890
6	1	2	28888
6	1	2	28986
6	1	2	28988
6	1	5	28927
6	1	5	28928
6	1	5	28929
6	1	5	28968
6	1	5	28919
6	1	5	28922
6	1	5	28983
6	1	5	28984
6	1	3	28899
6	1	3	28901
6	1	3	28903
6	1	3	28905
6	1	3	28907
6	1	3	28909
6	1	2	28965
6	1	4	28932
6	1	4	28925
6	1	5	28939
7	1	5	28756
7	1	3	28754
7	1	5	28764
7	1	5	28771
7	1	4	28777
7	1	7	28677
7	1	7	28690
7	1	7	28696
7	1	7	28684
7	1	6	28705
7	1	6	28716
7	1	3	28735
7	1	2	28736
7	1	3	28724
7	1	3	28726
7	1	3	28728
7	1	3	28730
7	1	3	28733
7	1	1	28699
7	1	4	28813
7	1	4	28802
7	1	1	28826
7	1	1	28830
7	1	1	28834
7	1	1	28838
7	1	1	28842
7	1	1	28846
7	1	1	28850
7	1	1	28854
7	1	1	28857
8	1	9	28804
8	1	9	28808
8	1	9	28806
8	1	9	28797
8	1	9	28801
8	1	9	28799
8	1	6	28817
8	1	6	28782
8	1	8	28786
8	1	8	28790
8	1	5	28917
8	1	5	28926
8	1	2	28940
8	1	2	28972
8	1	2	28920
8	1	2	28923
9	1	5	28758
9	1	5	28747
9	1	5	28775
9	1	8	28675
9	1	8	28688
9	1	8	28694
9	1	8	28682
9	1	6	28703
9	1	6	28714
9	1	3	28711
9	1	3	28722
9	1	2	28731
9	1	8	28780
9	1	5	28795
9	1	5	28814
9	1	5	28815
9	1	5	28983
9	1	5	28984
10	1	5	28757
10	1	5	28746
10	1	5	28776
10	1	8	28678
10	1	8	28691
10	1	8	28697
10	1	8	28685
10	1	6	28706
10	1	6	28717
10	1	5	28707
10	1	5	28718
10	1	4	28892
10	1	4	28967
10	1	2	28855
10	1	2	28858
10	1	2	28966
10	1	2	28963
10	1	5	28945
10	1	5	28944
10	1	5	28946
11	1	5	28763
11	1	5	28749
11	1	5	28772
11	1	4	28773
11	1	4	28748
11	1	3	28700
11	1	6	28811
11	1	6	28812
11	1	3	28783
11	1	8	28793
11	1	5	28894
11	1	5	28896
11	1	5	28898
11	1	5	28900
11	1	5	28902
11	1	5	28904
11	1	5	28906
11	1	5	28908
11	1	5	28910
11	1	2	28828
11	1	2	28832
11	1	2	28836
12	1	13	28811
12	1	13	28812
12	1	12	28783
12	1	8	28841
12	1	8	28845
12	1	8	28849
12	1	8	28853
12	1	10	28941
12	1	10	28936
12	1	10	28935
