flags	party_item	party_item_num	id1	id2	id3	id4	id5	major	minor	sound	shuffleLevel
0	0	0	86	0	0	0	0	0	0	0	1
0	0	0	27	0	0	0	0	0	0	0	1
0	0	0	114	0	0	0	0	0	0	0	1
0	0	0	86	86	0	0	0	0	0	0	1
0	0	0	27	86	0	0	0	0	0	0	1
0	0	0	27	27	0	0	0	0	0	0	1
0	0	0	114	86	0	0	0	0	0	0	1
0	0	0	114	27	0	0	0	0	0	0	1
0	0	0	114	114	0	0	0	0	0	0	1
0	0	0	86	86	86	0	0	0	0	0	1
0	0	0	27	86	86	0	0	0	0	0	1
0	0	0	27	27	86	0	0	0	0	0	1
0	0	0	27	27	27	0	0	0	0	0	1
0	0	0	114	86	86	0	0	0	0	0	1
0	0	0	114	27	86	0	0	0	0	0	1
0	0	0	114	27	27	0	0	0	0	0	1
0	0	0	114	114	86	0	0	0	0	0	1
0	0	0	114	114	27	0	0	0	0	0	1
0	0	0	114	114	114	0	0	0	0	0	1
0	0	0	86	86	86	86	0	0	0	0	1
0	0	0	27	86	86	86	0	0	0	0	1
0	0	0	27	27	86	86	0	0	0	0	1
0	0	0	27	27	27	86	0	0	0	0	1
0	0	0	114	27	86	86	0	0	0	0	1
0	0	0	114	27	27	86	0	0	0	0	1
0	0	0	114	114	86	86	0	0	0	0	1
0	0	0	27	27	27	27	0	0	0	0	1
0	0	0	86	86	86	86	86	0	0	0	1
0	0	0	27	86	86	86	86	0	0	0	1
0	0	0	27	27	86	86	86	0	0	0	1
0	0	0	114	86	86	86	86	0	0	0	1
0	0	0	27	27	27	27	27	0	0	0	1
0	0	0	300	0	0	0	0	0	0	0	1
0	0	0	114	1	1	1	0	202	101	0	2
0	0	0	13	13	0	0	0	0	0	0	1
0	0	0	18	18	0	0	0	0	0	0	1
0	0	0	13	13	18	0	0	0	0	0	1
0	0	0	13	18	0	0	0	0	0	0	1
0	0	0	30	30	0	0	0	0	0	0	1
0	0	0	30	30	18	0	0	0	0	0	1
0	0	0	13	30	18	0	0	0	0	0	1
0	0	0	30	13	13	0	0	0	0	0	1
0	0	0	30	30	18	0	0	0	0	0	1
0	0	0	18	18	18	0	0	0	0	0	1
0	0	0	18	18	30	0	0	0	0	0	1
0	0	0	13	0	0	0	0	0	0	0	1
0	0	0	13	30	0	0	0	0	0	0	1
0	0	0	1	1	0	0	0	0	0	0	2
0	0	0	1	13	13	0	0	0	0	0	2
0	0	0	30	1	0	0	0	0	0	0	2
0	0	0	1	1	18	0	0	0	0	0	2
0	0	0	1	1	30	0	0	0	0	0	2
0	0	0	13	18	1	0	0	0	0	0	2
0	0	0	1	1	18	0	0	0	0	0	2
0	0	0	18	86	0	0	0	0	0	0	2
0	0	0	86	86	0	0	0	0	0	0	2
0	0	0	13	86	0	0	0	0	0	0	2
0	0	0	18	18	86	0	0	0	0	0	2
0	0	0	30	1	86	0	0	0	0	0	2
0	0	0	1	86	0	0	0	0	0	0	2
0	0	0	18	1	86	0	0	0	0	0	2
0	0	0	86	86	1	0	0	0	0	0	2
0	0	0	13	13	13	0	0	0	0	0	2
0	0	0	52	0	0	0	0	0	0	0	3
0	0	0	1	1	18	0	0	0	0	0	3
0	0	0	18	86	86	0	0	0	0	0	3
0	0	0	18	18	1	0	0	0	0	0	3
0	0	0	86	86	1	0	0	0	0	0	3
0	0	0	1	69	0	0	0	0	0	0	3
0	0	0	69	69	0	0	0	0	0	0	3
0	0	0	13	13	52	0	0	0	0	0	3
0	0	0	1	52	0	0	0	0	0	0	3
0	0	0	86	86	69	0	0	0	0	0	3
0	0	0	30	1	52	0	0	0	0	0	3
0	0	0	52	13	13	0	0	0	0	0	3
0	0	0	13	13	0	0	0	0	0	0	3
0	0	0	13	18	0	0	0	0	0	0	3
0	0	0	18	13	13	0	0	0	0	0	3
0	0	0	86	86	0	0	0	0	0	0	3
0	0	0	1	86	0	0	0	0	0	0	3
0	0	0	69	86	86	0	0	0	0	0	3
0	0	0	69	13	13	0	0	0	0	0	3
0	0	0	69	1	86	0	0	0	0	0	3
0	0	0	52	86	0	0	0	0	0	0	3
0	0	0	69	18	1	0	0	0	0	0	3
0	0	0	52	86	1	0	0	0	0	0	3
0	0	0	5	5	0	0	0	0	0	0	4
0	0	0	47	47	0	0	0	0	0	0	4
0	0	0	124	47	0	0	0	0	0	0	4
0	0	0	124	124	47	0	0	0	0	0	4
0	0	0	19	19	0	0	0	0	0	0	4
0	0	0	5	19	0	0	0	0	0	0	4
0	0	0	47	47	19	0	0	0	0	0	4
0	0	0	5	19	47	0	0	0	0	0	4
0	0	0	124	124	0	0	0	0	0	0	4
0	0	0	137	0	0	0	0	0	0	0	4
0	0	0	47	47	47	0	0	0	0	0	4
0	0	0	19	19	124	0	0	0	0	0	4
0	0	0	137	137	0	0	0	0	0	0	4
0	0	0	124	137	0	0	0	0	0	0	4
0	0	0	19	124	124	0	0	0	0	0	4
0	0	0	5	5	137	137	0	0	0	0	4
0	0	0	73	0	0	0	0	0	0	0	5
0	0	0	73	5	5	0	0	0	0	0	5
0	0	0	124	124	124	0	0	0	0	0	5
0	0	0	124	124	5	0	0	0	0	0	5
0	0	0	124	73	0	0	0	0	0	0	5
0	0	0	19	19	19	0	0	0	0	0	5
0	0	0	47	47	47	73	0	0	0	0	5
0	0	0	22	22	22	22	0	0	0	0	5
0	0	0	22	22	0	0	0	0	0	0	5
0	0	0	124	124	137	137	0	0	0	0	5
0	0	0	73	22	5	0	0	0	0	0	5
0	0	0	137	137	22	22	0	0	0	0	5
0	0	0	22	5	5	0	0	0	0	0	5
0	0	0	137	137	19	19	0	0	0	0	5
0	0	0	73	137	19	0	0	0	0	0	5
0	0	0	5	5	137	0	0	0	0	0	5
0	0	0	179	0	0	0	0	0	0	0	5
0	0	0	22	22	22	22	0	0	0	0	5
0	0	0	124	5	22	0	0	0	0	0	5
0	0	0	137	137	0	0	0	0	0	0	5
0	0	0	179	73	73	0	0	0	0	0	5
0	0	0	179	179	22	22	0	0	0	0	5
0	0	0	47	47	47	47	0	0	0	0	5
0	0	0	19	137	137	0	0	0	0	0	5
0	0	0	141	141	0	0	0	0	0	0	6
0	0	0	2	2	0	0	0	0	0	0	6
0	0	0	141	2	19	0	0	0	0	0	6
0	0	0	141	141	22	22	0	0	0	0	6
0	0	0	141	141	141	141	0	0	0	0	6
0	0	0	73	2	2	0	0	0	0	0	6
0	0	0	179	179	22	0	0	0	0	0	6
0	0	0	179	2	2	0	0	0	0	0	6
0	0	0	94	94	0	0	0	0	0	0	6
0	0	0	35	35	35	0	0	0	0	0	6
0	0	0	94	22	0	0	0	0	0	0	6
0	0	0	22	179	141	0	0	0	0	0	6
0	0	0	141	141	35	35	0	0	0	0	6
0	0	0	73	179	94	0	0	0	0	0	6
0	0	0	2	2	19	0	0	0	0	0	6
0	0	0	179	179	94	94	0	0	0	0	6
0	0	0	94	94	35	0	0	0	0	0	6
0	0	0	35	35	137	137	0	0	0	0	6
0	0	0	22	2	2	0	0	0	0	0	6
0	0	0	141	141	141	141	0	0	0	0	6
0	0	0	73	2	124	0	0	0	0	0	6
0	0	0	141	141	94	0	0	0	0	0	6
