sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	getFlag
0	22	99	0	0	0	0	0	0	0	0	0	0	0	1231
1	22	99	0	0	0	0	0	0	0	0	0	0	0	1232
2	22	99	0	0	0	0	0	0	0	0	0	0	0	0
3	22	99	0	0	0	0	0	0	0	0	0	0	0	0
4	22	99	0	0	0	0	0	0	0	0	0	0	0	0
5	22	99	0	0	0	0	0	0	0	0	0	0	0	0
6	22	99	0	0	0	0	0	0	0	0	0	0	0	0
7	22	99	0	0	0	0	0	0	0	0	0	0	0	0
8	22	99	0	0	0	0	0	0	0	0	0	0	0	0
9	22	0	0	0	0	0	0	0	0	0	0	0	0	0
10	22	0	0	0	0	0	0	0	0	0	0	0	0	0
11	22	0	0	0	0	0	0	0	0	0	0	0	0	0
12	22	0	0	0	0	0	0	0	0	0	0	0	0	0
13	22	0	0	0	0	0	0	0	0	0	0	0	0	0
14	22	0	0	0	0	0	0	0	0	0	0	0	0	0
15	22	0	0	0	0	0	0	0	0	0	0	0	0	0
16	22	0	0	0	0	0	0	0	0	0	0	0	0	0
17	22	0	0	0	0	0	0	0	0	0	0	0	0	0
18	22	0	0	0	0	0	0	0	0	0	0	0	0	0
19	22	0	0	0	0	0	0	0	0	0	0	0	0	0
20	22	99	0	0	0	0	0	0	0	0	0	0	0	0
21	22	99	0	0	0	0	0	0	0	0	0	0	0	0
22	22	99	0	0	0	0	0	0	0	0	0	0	0	0
23	22	99	0	0	0	0	0	0	0	0	0	0	0	0
24	22	99	0	0	0	0	0	0	0	0	0	0	0	0
25	22	99	0	0	0	0	0	0	0	0	0	0	0	0
26	22	99	0	0	0	0	0	0	0	0	0	0	0	0
27	22	99	0	0	0	0	0	0	0	0	0	0	0	0
28	22	99	0	0	0	0	0	0	0	0	0	0	0	0
29	22	99	0	0	0	0	0	0	0	0	0	0	0	0
30	22	99	0	0	0	0	0	0	0	0	0	0	0	0
31	22	99	0	0	0	0	0	0	0	0	0	0	0	0
32	22	99	0	0	0	0	0	0	0	0	0	0	0	0
33	22	99	0	0	0	0	0	0	0	0	0	0	0	0
34	22	99	0	0	0	0	0	0	0	0	0	0	0	0
35	22	99	0	0	0	0	0	0	0	0	0	0	0	0
36	22	99	0	0	0	0	0	0	0	0	0	0	0	0
37	22	99	0	0	0	0	0	0	0	0	0	0	0	0
38	22	99	0	0	0	0	0	0	0	0	0	0	0	0
39	22	99	0	0	0	0	0	0	0	0	0	0	0	0
