id	enabled	nameLabel	infoLabel	charaId	customCategory	customValue	skillId	price	conditionCustomId	iconId	costItemId1	costItemNum1	costItemId2	costItemNum2	costItemId3	costItemNum3	startFlag
0	0	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	NAME_001	INFO_001	1002	5	2	0	10000	0	21	1121	2	0	0	0	0	189
2	1	NAME_002	INFO_002	1002	5	2	0	90000	1	21	1121	2	0	0	0	0	0
3	1	NAME_003	INFO_003	1002	5	2	0	300000	2	21	1121	2	0	0	0	0	0
4	1	NAME_004	INFO_004	1002	6	0	2020	10000	0	17	1120	1	1125	3	0	0	188
5	1	NAME_005	INFO_005	1002	6	0	2021	60000	0	17	1120	3	1171	3	1126	2	190
6	1	NAME_006	INFO_006	1002	6	0	2022	60000	0	17	1120	3	1167	3	1128	2	190
7	1	NAME_007	INFO_007	1002	6	0	2023	120000	0	17	1120	4	1178	3	1163	3	191
8	1	NAME_008	INFO_008	1002	6	0	2024	240000	0	17	1120	4	1190	3	1183	2	192
9	1	NAME_009	INFO_009	1002	6	0	2025	15000	0	17	1120	1	1219	1	0	0	188
10	1	NAME_010	INFO_010	1002	6	0	2042	30000	0	18	1120	2	1159	2	1141	3	189
11	1	NAME_011	INFO_011	1002	6	0	2043	30000	0	18	1120	2	1155	1	1133	3	189
12	1	NAME_012	INFO_012	1002	6	0	2044	120000	0	18	1120	4	1180	3	0	0	191
13	1	NAME_013	INFO_013	1002	6	0	2045	60000	0	18	1120	3	1167	3	1151	1	190
14	1	NAME_014	INFO_014	1002	6	0	2046	320000	0	18	1120	4	1195	3	1181	1	192
15	1	NAME_015	INFO_015	1002	7	0	6180	300000	0	21	1121	4	0	0	0	0	192
16	1	NAME_016	INFO_016	1002	7	0	6181	500000	15	21	1121	8	0	0	0	0	11
17	1	NAME_017	INFO_017	1002	7	0	6182	1000000	16	21	1121	12	0	0	0	0	11
18	1	NAME_101	INFO_101	1002	0	3	0	2000	0	21	1101	1	1162	1	0	0	0
19	1	NAME_102	INFO_102	1002	0	4	0	10000	0	21	1102	1	1130	2	0	0	188
20	1	NAME_103	INFO_103	1002	0	4	0	15000	0	21	1102	2	1145	2	0	0	188
21	1	NAME_104	INFO_104	1002	0	5	0	30000	0	21	1103	1	1148	2	0	0	189
22	1	NAME_105	INFO_105	1002	0	5	0	40000	0	21	1103	2	1161	3	0	0	189
23	1	NAME_106	INFO_106	1002	0	5	0	45000	0	21	1104	1	1168	2	0	0	190
24	1	NAME_107	INFO_107	1002	0	5	0	52000	0	21	1104	2	1171	3	0	0	190
25	1	NAME_108	INFO_108	1002	0	6	0	90000	0	21	1105	1	1178	2	0	0	191
26	1	NAME_109	INFO_109	1002	0	6	0	116000	0	21	1105	2	1189	3	0	0	191
27	1	NAME_110	INFO_110	1002	0	6	0	180000	0	21	1106	1	1190	2	0	0	192
28	1	NAME_111	INFO_111	1002	0	6	0	240000	0	21	1106	2	1198	3	0	0	192
29	1	NAME_112	INFO_112	1002	0	7	0	300000	0	21	1106	3	1208	3	0	0	192
30	1	NAME_113	INFO_113	1002	0	7	0	400000	0	21	1107	1	1212	2	1190	4	209
